Time(minutes) NodeBegin NodeEnd NrOfCars
1 31156945_31156947 31156945 31156947 6
1 27167600_27167599 27167600 27167599 53
1 36663554_36663553 36663554 36663553 10
1 34555050_252408161 34555050 252408161 36
1 34816514_34816516 34816514 34816516 11
1 31930544_31930533 31930544 31930533 27
1 36307573_36307574 36307573 36307574 8
1 31153918_252343340 31153918 252343340 3
1 32528050_32528037 32528050 32528037 1
1 32675842_32675840 32675842 32675840 3
1 28396135_32529959 28396135 32529959 9
1 32333980_32215286 32333980 32215286 100
1 34696733_34696730 34696733 34696730 33
1 132460751_27282383 132460751 27282383 168
1 251774709_60054506 251774709 60054506 249
1 32601849_32601847 32601849 32601847 11
1 252338817_216205781 252338817 216205781 2
1 34461446_34461444 34461446 34461444 159
1 254531306_254531307 254531306 254531307 10
1 253167893_253167894 253167893 253167894 18
1 252341855_34555652 252341855 34555652 30
1 34554753_34554755 34554753 34554755 7
1 131642290_131642292 131642290 131642292 36
1 251907737_26485601 251907737 26485601 48
1 32676754_32676755 32676754 32676755 3
1 55461850_26385831 55461850 26385831 16
1 27167174_34815626 27167174 34815626 63
1 35159250_35159252 35159250 35159252 0
1 36662877_27166975 36662877 27166975 21
1 32690965_32690955 32690965 32690955 167
1 35988349_27166983 35988349 27166983 81
1 34678020_34678019 34678020 34678019 25
1 252338966_34813430 252338966 34813430 279
1 251852560_34522515 251852560 34522515 9
1 31156666_252406520 31156666 252406520 31
1 34461526_254611758 34461526 254611758 240
1 261212841_261212839 261212841 261212839 11
1 34555059_252341930 34555059 252341930 24
1 216205665_252338939 216205665 252338939 363
1 251881964_27166951 251881964 27166951 15
1 32572883_32572882 32572883 32572882 23
1 132225956_59842186 132225956 59842186 55
1 32675474_32675472 32675474 32675472 108
1 258495253_258499924 258495253 258499924 7
1 32320937_33199595 32320937 33199595 10
1 35980955_35966858 35980955 35966858 31
1 259412303_259412293 259412303 259412293 59
1 32333962_32333963 32333962 32333963 14
1 31156924_31156925 31156924 31156925 87
1 261070705_261070706 261070705 261070706 19
1 34523712_34523711 34523712 34523711 132
1 34533187_209094332 34533187 209094332 78
1 32627805_38428535 32627805 38428535 17
1 31718366_31718331 31718366 31718331 49
1 252338828_216205914 252338828 216205914 2
1 252406516_84843008 252406516 84843008 12
1 32629251_32629265 32629251 32629265 7
1 36266781_36266773 36266781 36266773 2
1 31803703_33810540 31803703 33810540 34
1 31156660_34678010 31156660 34678010 47
1 34678002_97964818 34678002 97964818 77
1 32335043_26515509 32335043 26515509 38
1 99350016_251881722 99350016 251881722 97
1 26118690_254513587 26118690 254513587 32
1 32594635_32553383 32594635 32553383 14
1 31807244_252025700 31807244 252025700 5
1 31158725_212881026 31158725 212881026 14
1 27166924_27166922 27166924 27166922 13
1 32049282_32049280 32049282 32049280 200
1 209167552_209167555 209167552 209167555 4
1 201867156_32601859 201867156 32601859 37
1 254526173_254526132 254526173 254526132 12
1 59842203_59842200 59842203 59842200 202
